Timestamp,Score,"1. Please enter all the name(s) of the protected area(s) that apply.
If there is more than one protected area(s) name(s), please separate them by hitting enter in the answer space below","2. Wildlife health, including infectious and non-infectious diseases, is important to achieve the conservation goals of the protected areas where I work ",3. Pathogens carried by wildlife inhabiting the protected area I work in can affect livestock health    ,4. Pathogens carried by wildlife inhabiting the protected area I work in can affect public health,5. Human or livestock pathogens can affect wildlife populations inhabiting the protected area I work in,"6. Introduced domestic animals (e.g., dogs, cats, cattle, pigs, cats) are a concern for the conservation goals of the protected areas where I work",7. Are dead animals encountered in the protected area? ,8. Are sick or injured animals encountered in the protected area? ,9. Are livestock encountered in the protected area?,"10. How long, on average, are the patrols in the protected area?","11. On average, how many patrols are completed in the protected area in one month?",12. Are healthy wildlife found during patrols (rangers or others) recorded as a specific category of individuals?,12.a Please select one of the choices below to help us understand how healthy wildlife are recorded during a patrol:,12.b Please indicate what type of data are recorded (check all that apply),12.c Are these data entered and stored in SMART Desktop?,12.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,13. Are dead wildlife found during patrols recorded as a specific category of individuals? ,13.a Please select one of the choices below to help us understand how dead wildlife are recorded during a patrol:,13.b Please indicate what type of data are recorded (check all that apply),13.c Are these data entered and stored in SMART Desktop?,13.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,14. Are injured wildlife found during patrols recorded as a specific category of individuals? ,14.a Please select one of the choices below to help us understand how injured wildlife are recorded during a patrol:,14.b Please indicate what type of data are recorded (check all that apply),14.c Are these data entered and stored in SMART Desktop?,14.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded?,15. Are sick wildlife found during patrols recorded as a specific category of individuals? ,15.a Please select one of the choices below to help us understand how sick wildlife are recorded during a patrol:,15.b Please indicate what type of data are recorded (check all that apply),15.c Are these data entered and stored in SMART Desktop?,15.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,"16. Are domestic animals found in the protected area (free-ranging, captive, on a farm)?","17. If observed on a patrol, is the presence of domestic animals recorded?",17.a Are these data entered in SMART Desktop?,"18. Is the health status of the observed domestic animals recorded (healthy, sick or injured, dead) recorded?",18.a Are these data entered in SMART Desktop?,19. Is any other data relevant to wildlife health collected during the patrols?,"20. If no data are collected on dead, sick, or injured wildlife, please select the best explanation(s) for why this information is not collected (check all that apply)",21. What version of SMART Desktop is currently used in the protected area?,22. Is SMART Connect available to manage and transfer information between SMART Desktop and SMART Mobile? ,22.a Are there plans to set up SMART Connect instance and when?,23. Is SMART fully rolled-out in the protected area(s) you work in or is it being piloted?,24. Would you be interested in adding a set of categories and attributes to your data model in order to facilitate the collection of wildlife health data (morbidity/mortality findings and events)? ,25. Please select the option that best describes your position
12/14/2022 17:30:31,,RB EL VIZCAINO,Strongly agree,Agree,Agree,Agree,Strongly agree,Very frequently,Occasionally,Very frequently,Between two and five days,15,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Sex",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Sex, Anomalies in carcass (if any), Suspect cause of death, Other",None of these items are recorded in the corresponding SMART Conservation Area,BASE DE DATOS DEL ANP,No,,,,,No,,,,,Yes,No,,No,,NO,"We use the default SMART data model which does not include sick, dead or injured wildlife",4.1.0,Yes,,Under pilot,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/14/2022 21:02:53,,Reserva de la Biosfera Los Petenes,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Sometimes,Never,Very rarely,Between four days and a week,10,No,,,,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Photographs, Species, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Photographs, Species, Anomalies/signs if any, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),"Photographs, Species, Sex, Anomalies/signs if any, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,Yes,Yes,Si,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",4.1.0.201612211110,Yes,,Fully rolled-out,Yes,Other
12/15/2022 12:56:27,,"PARQUE NACIONAL ISLA CONTOY-COMISION NACIONAL DE AREAS NATURALES PROTEGIDAS (CONANP), MÉXICO.",Strongly agree,Agree,Agree,Agree,Neutral,Occasionally,Occasionally,Never,Between four days and a week,20,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Sex, Body condition",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Sex, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Sex, Body condition, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,No,,La presencia de especies exoticas invasoras y acciones para su control. (Ejemplo control de la población del Pez León mediante capturas),"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",SMART 4.0.1 64 BITS,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/15/2022 15:02:07,,SANTUARIO PLAYA DE MISMALOYA,Agree,Agree,Somewhat Disagree,Strongly agree,Strongly agree,Occasionally,Occasionally,Very frequently,Less than a day,25,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,LOS DATOS MAS RELEVANTES EN LAS PATRULLAJES SON DE TIPO SAQUEOS DE NIDOS DE TORTUGA MARINA,"Dead, sick or injured wildlife are seldom found",SMART 4.1.1,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/15/2022 15:35:21,,Parque Nacional Tulum CONANP,Strongly agree,Somewhat Disagree,Agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Rarely,Less than a day,12,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Sex, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Sex, Anomalies in carcass (if any)",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Anomalies/signs if any",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,-,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",4.1.0.201612211110,No,-,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/15/2022 15:58:22,,"PARQUE NACIONAL SISTEMA ARRECIFAL VERACRUZANO
",Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Very frequently,Occasionally,Never,Between four days and a week,20,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Age, Sex, Body condition",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,Yes,Yes,SI,Never thought about it,4.1,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/15/2022 18:19:23,,RB Los Tuxtlas,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Rarely,Rarely,Very frequently,Less than a day,4,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,No,"Dead, sick or injured wildlife are seldom found",4.1.0.201612211110,Yes,,Fully rolled-out,No,I am directly responsible for managing SMART data in one or more protected areas
12/16/2022 0:17:10,,RESERVA DE LA BIOSFERA PANTANOS DE CENTLA.,Strongly agree,Neutral,Neutral,Agree,Somewhat Disagree,Sometimes,Occasionally,Always,Less than a day,4,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,NO,"Dead, sick or injured wildlife are seldom found, We use the default SMART data model which does not include sick, dead or injured wildlife",4.10.201612211110,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/16/2022 3:10:07,,AREA DE PROTECCION DE FLORA Y FAUNA CABO SAN LUCAS ,Strongly agree,Neutral,Agree,Neutral,Neutral,Never,Sometimes,Never,Between two and five days,20,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Body condition, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife is recorded in another way,"Photographs, Anomalies/signs if any, Body condition, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,No,,No,,MAMIFEROS MARINOS  EN MALLADOS CON REDES ,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",3.507,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/16/2022 18:54:53,,Parque Nacional Isla Isabel,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never,Very rarely,Never,Between four days and a week,25,Yes,Healthy wildlife is recorded in another way,Other,None of these items are recorded in the corresponding SMART Conservation Area,No se nos ha presentado ningun caso,No,,,,,No,,,,,No,,,,,No,Yes,Yes,No,,no,"Dead, sick or injured wildlife are seldom found",4.1.0.201612211110,Yes,,Partially rolled-out,Yes,Other
12/19/2022 18:13:09,,ejemplo,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Very rarely,Sometimes,Rarely,Between one to two days,10,Yes,Healthy wildlife is recorded in another way,Age,None of these items are recorded in the corresponding SMART Conservation Area,paper,Yes,Each individual dead animal is recorded as an individual observation,Sex,None of these items are recorded in the corresponding SMART Conservation Area,paper,Yes,Each individual injured animal is recorded as an individual observation,Age,None of these items are recorded in the corresponding SMART Conservation Area,0,No,,,,,No,Yes,No,No,,no,Lack of expertise on how to properly record this information,6,No,na,Under pilot,Yes,Other
12/19/2022 22:59:24,,Endau-Rompin ,Strongly agree,Agree,Somewhat Disagree,Neutral,Agree,Occasionally,Rarely,Sometimes,Between four days and a week,4,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,"Yes, possible cause of deaths ","Dead, sick or injured wildlife are seldom found",6.3,Yes,,Fully rolled-out,Yes,Other
12/20/2022 3:09:15,,"Batang Ai National Park
Lanjak-Entimau Wildlife Sanctuary
Sedilu-Sebuyau-Lesong- landscape ",Strongly agree,Strongly agree,Agree,Neutral,Neutral,Very rarely,Very rarely,Never,Between four days and a week,1,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Suspect cause of disease, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,Yes,Yes,Yes,"Dead, sick or injured wildlife are seldom found",SMART 7.5.5,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/20/2022 4:33:36,,"Huai Kha Khaeng Wildlife Sanctuary
Thung Yai Naresuan Wildlife Sanctuary
Kaeng Krachan National Park
Thap Lan National Park",Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Occasionally,Rarely,Very frequently,Between two and five days,100,No,,,,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,"Not on SMART database.  Because SMART database we have used does not include ""health"" data.  We focus on poaching signs.  Domestic animals are recorded as a threat related to poaching and habitat disturbance.","Dead, sick or injured wildlife are seldom found, It would add too much work or time to the patrol, Wildlife disease is not relevant in the protected area",6.3,No,No,Fully rolled-out,No,Other
12/20/2022 5:05:46,,Taman Negara Terengganu Malaysia,Strongly agree,Strongly agree,Neutral,Agree,Agree,Occasionally,Rarely,Never,Between four days and a week,4,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Age",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,No,,No,,No,"Dead, sick or injured wildlife are seldom found",SMART 6.3,No,Yes,Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
12/20/2022 7:26:04,,"Nouabale-Ndoki National Park (NNNP)
Peripheral Ecosystem Management Project in Nouabale-Ndoki National Park (PROGEPP-Kabo)
Lake Tele Community Reserve (LCR)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Disagree,Always,Occasionally,Rarely,Between four days and a week,15,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Photographs, Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,Yes,Yes,Yes,"Dead, sick or injured wildlife are seldom found, Never thought about it",7.5.4,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/20/2022 13:03:51,,"Parque Nacional y Área Natural de Manejo Integrado Madidi
Área Natural de Manejo Integrado Nacional Apolobamba
Reseva de la Biosfera y Terriorio Comunitario de Origen Pilón Lajas
Reserva de la Biosfera Estación Biológica del Beni",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Rarely,Sometimes,Between one to two days,20,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Species, Age",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,Yes,Yes,No,,No,"Dead, sick or injured wildlife are seldom found",4.1,No,May be,Under pilot,Yes,Other
12/20/2022 15:27:54,,"Reserva de la Biosfera Montes Azules
Monumento Natural Bonampak",Agree,Neutral,Neutral,Agree,Agree,Sometimes,Never,Sometimes,Between two and five days,12,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),Other,Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,No,,No,,Durante los recorridos no se registran en el SMART,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",4,No,?,Partially rolled-out,Yes,Other
12/20/2022 15:34:53,,Niassa Special Reserve - Mozambique,Neutral,Neutral,Neutral,Agree,Agree,Very frequently,Occasionally,Occasionally,Between four days and a week,15,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,  ,Wildlife disease is not relevant in the protected area,7.5.4,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/20/2022 16:10:15,,Area protegida Autonoma Descentralizada Cordillera Oriental del Carchi,Strongly agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly agree,Very rarely,Very rarely,Sometimes,Less than a day,8,No,,,,,No,,,,,No,,,,,No,,,,,Yes,No,,No,,no,Lack of expertise on how to properly record this information,none,No,if there are plans when they train us technicians,Partially rolled-out,Yes,Other
12/20/2022 16:12:03,,PARQUE NACIONAL LLANGANATES,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Very rarely,Very rarely,Always,Between one to two days,25,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Body condition, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Photographs, Species, Body condition",None of these items are recorded in the corresponding SMART Conservation Area,Matriz e informes del Programa de Biodiversidad.,No,,,,,Yes,No,,No,,Muy dificilmente se puede mantener acercamiento a la vida silvestre.,"Dead, sick or injured wildlife are seldom found",6.3.0,No,Si hay planes con apoyo de WCS para el 2023,Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
12/20/2022 18:51:32,,Parque Nacional Yacuri,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Very rarely,Very rarely,Never,Between two and five days,3,Yes,Each individual healthy animal is recorded as an individual observation,Photographs,Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Sex, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Sex, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,No,,Únicamente observaciones directas o indirectas (La presencia del Bicho) ,"Dead, sick or injured wildlife are seldom found",SMART 6.3.0,No,Aun no hay disposiciones para configurar ,Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
12/21/2022 11:25:05,,Reserva Biológica Cerro Plateado,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Never,Never,Never,Between one to two days,10,Yes,Each individual healthy animal is recorded as an individual observation,Photographs,All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,No,Yes,Yes,No,,Si es necesario se lo registra.,"Dead, sick or injured wildlife are seldom found",6.3.0,No,"Aun no, pero seria importante fortalecer este aspecto.",Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/21/2022 11:42:39,,Parque Nacional Sangay Zona Alta,Agree,Agree,Strongly agree,Agree,Strongly agree,Very rarely,Very rarely,Sometimes,Less than a day,12,No,,,,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Photographs, Species, Sex, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,no,Lack of expertise on how to properly record this information,6.3.0,No,no,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/21/2022 12:40:09,,PN. Cotacachi Cayapas,Strongly agree,Somewhat Disagree,Agree,Strongly agree,Strongly agree,Very rarely,Never,Never,Between four days and a week,8,No,,,,,No,,,,,No,,,,,No,,,,,No,No,,No,,No,"We use the default SMART data model which does not include sick, dead or injured wildlife",smart.6.2.3.RC19.win32,No,"Creo que no, no tenemos lo equipos suficiente",Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/21/2022 13:43:27,,"Reserva del Hombre y la Biosfera de Río Plátano
Reserva de Biosfera Tawahka-Asangni
Parque Nacional Warunta",Agree,Neutral,Neutral,Agree,Agree,Sometimes,Rarely,Very frequently,Between four days and a week,1,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,No,,No,Lack of expertise on how to properly record this information,SMART 7.4,No,Not yet,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/21/2022 14:48:04,,Parque Nacional Podocarpus,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Occasionally,Rarely,Very rarely,Between one to two days,15,No,,,,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Photographs, Species",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,No,No,,No,"Dead, sick or injured wildlife are seldom found",SMART version 6.3.0,No,Anualmente se actualiza,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/21/2022 17:59:11,,National Parks System ,Neutral,Agree,Agree,Agree,Strongly agree,Occasionally,Occasionally,Occasionally,Between four days and a week,5,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Sex, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,Yes,Yes,No,,No,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",6.3,No,Yes,Fully rolled-out,Yes,Other
12/21/2022 20:54:19,,Parque Nacional Cajas,Strongly agree,Strongly agree,Somewhat Disagree,Strongly agree,Strongly agree,Occasionally,Rarely,Always,Between two and five days,20,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,Yes,Yes,Especie,"Dead, sick or injured wildlife are seldom found",6.3.0,No,si,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/22/2022 10:20:04,,PNNN PNOK PNCD RCLT PNNP RNGLL PROGEPP-KABO PROGEPP NGOMBE ETIC TALA TALA,Agree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Very rarely,Between four days and a week,20,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),"Species, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,Yes,It would add too much work or time to the patrol,SMART 7.5.4,Yes,,Fully rolled-out,Yes,Other
